Participant,Session,List,Task,Word,Time,Score
4,1,A,Static,anbesi,Immediate,0
4,1,A,Static,ancano,Immediate,0
4,1,A,Static,andono,Immediate,1
4,1,A,Static,anuino,Immediate,0
4,1,A,Static,rebeno,Immediate,1
4,1,A,Static,sibeno,Immediate,1
4,1,A,Static,cubeno,Immediate,1
4,1,A,Static,patito,Retention,0
4,1,A,Static,patira,Retention,0
4,1,A,Static,patizi,Retention,0
4,1,A,Static,pacore,Retention,1
4,1,A,Static,panire,Retention,0
4,1,A,Static,pahare,Retention,1
4,1,A,Static,detire,Retention,0
4,1,A,Static,cotire,Retention,0
4,1,A,Static,sutire,Retention,0
4,1,A,Static,socuo,Retention,0
4,1,A,Static,socuti,Retention,0
4,1,A,Static,socule,Retention,0
4,1,A,Static,soiata,Retention,0
4,1,A,Static,sorta,Retention,1
4,1,A,Static,soetta,Retention,0
4,1,A,Static,ficuta,Retention,0
4,1,A,Static,scuta,Retention,0
4,1,A,Static,pecuta,Retention,0
4,1,A,Static,anbera,Retention,0
4,1,A,Static,anbetu,Retention,0
4,1,A,Static,anbesi,Retention,0
4,1,A,Static,ancano,Retention,0
4,1,A,Static,andono,Retention,0
4,1,A,Static,anuino,Retention,0
4,1,A,Static,rebeno,Retention,0
4,1,A,Static,sibeno,Retention,0
4,1,A,Static,cubeno,Retention,0
4,2,B,Adaptive,chareka,Immediate,1
4,2,B,Adaptive,charezo,Immediate,1
4,2,B,Adaptive,charete,Immediate,1
4,2,B,Adaptive,chauri,Immediate,1
4,2,B,Adaptive,chakori,Immediate,1
4,2,B,Adaptive,chamari,Immediate,1
4,2,B,Adaptive,lireri,Immediate,1
4,2,B,Adaptive,moreri,Immediate,1
4,2,B,Adaptive,apreri,Immediate,1
4,2,B,Adaptive,fiante,Immediate,0
4,2,B,Adaptive,fiani,Immediate,0
4,2,B,Adaptive,fianca,Immediate,0
4,2,B,Adaptive,fipito,Immediate,0
4,2,B,Adaptive,fiato,Immediate,0
4,2,B,Adaptive,fimuto,Immediate,1
4,2,B,Adaptive,canto,Immediate,1
4,2,B,Adaptive,esanto,Immediate,1
4,2,B,Adaptive,peanto,Immediate,1
4,2,B,Adaptive,estome,Immediate,0
4,2,B,Adaptive,estowa,Immediate,1
4,2,B,Adaptive,estosi,Immediate,0
4,2,B,Adaptive,esperu,Immediate,1
4,2,B,Adaptive,escaru,Immediate,1
4,2,B,Adaptive,esturu,Immediate,1
4,2,B,Adaptive,imtoru,Immediate,0
4,2,B,Adaptive,netoru,Immediate,1
4,2,B,Adaptive,rotoru,Immediate,1
4,2,B,Adaptive,chareka,Retention,0
4,2,B,Adaptive,charezo,Retention,0
4,2,B,Adaptive,charete,Retention,1
4,2,B,Adaptive,chauri,Retention,0
4,2,B,Adaptive,chakori,Retention,0
4,2,B,Adaptive,chamari,Retention,0
4,2,B,Adaptive,lireri,Retention,0
4,2,B,Adaptive,moreri,Retention,0
4,2,B,Adaptive,apreri,Retention,1
4,2,B,Adaptive,fiante,Retention,0
4,2,B,Adaptive,fiani,Retention,0
4,2,B,Adaptive,fianca,Retention,0
4,2,B,Adaptive,fipito,Retention,0
4,2,B,Adaptive,fiato,Retention,0
4,2,B,Adaptive,fimuto,Retention,0
4,2,B,Adaptive,canto,Retention,0
4,2,B,Adaptive,esanto,Retention,0
4,2,B,Adaptive,peanto,Retention,1
4,2,B,Adaptive,estome,Retention,0
4,2,B,Adaptive,estowa,Retention,0
4,2,B,Adaptive,estosi,Retention,0
